wav_filename,wav_filesize,transcript
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.1.wav,76218,qui est alfred mon robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.2.wav,95198,qui est ce petit robot noir et blanc
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.3.wav,65882,toc toc toc qui est la
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.4.wav,59142,ou habites tu en ce moment
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.5.wav,52134,ou est ce que tu habites
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.6.wav,61888,tu resides ou aujourdhui
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.7.wav,51474,ou est ce que tu resides
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.8.wav,63088,aimes tu le sexe mon ami
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.9.wav,45576,est ce que tu aimes le sexe
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.10.wav,57978,tu aimes le sexe ou pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.11.wav,108780,tu es marie ou bien tu ne l es pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.12.wav,70860,es tu marie avec un autre robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.13.wav,72846,es tu un garcon ou une fille
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.14.wav,73784,est ce que tu es une fille ou un garcon
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.15.wav,120894,es tu vincent ou stephanie ou encore axel
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.16.wav,146258,tu es axel ou bien tu es vincent ou bien encore stephanie
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.17.wav,65950,est ce que je te derange alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.18.wav,78938,alfred dis moi si je te derange
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.19.wav,51094,est ce que je te derange alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.20.wav,74336,dis moi que je ne te derange pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.21.wav,84858,alfred tu es vraiment nul tu vois
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.22.wav,157900,je me demande si tu es stupide ou simplement ridicule voire bete
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.23.wav,123260,je trouve que tu es petit minuscule et pas bien grand
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.24.wav,137756,tu n es pas petit et je trouve meme que tu es enorme et geant
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.25.wav,127854,tu es fort et intelligent car tu as un cerveau developpe
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.26.wav,129764,tu es faible sans forces et bete car tu es stupide
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.27.wav,105512,tu es amoureux et tu peux aimer un autre robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.28.wav,83700,es tu amoureux ou peux tu aimer ton prochain
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.29.wav,65112,je vois que tu as les yeux bleu
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.30.wav,76854,je constate que tu as des cameras
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.31.wav,73888,tu as combien de cameras pour la vision
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.32.wav,77238,as tu des yeux pour voir des choses
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.33.wav,76900,tu as des micros ou des microphones
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.34.wav,68962,as tu un micro ou des micros
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.35.wav,106816,est ce que tu as un haut parleur ou des haut parleurs
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.36.wav,102246,en es tu certain ou est ce que tu es sur
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.37.wav,84252,je me demande si tu as raison alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.38.wav,169502,alfred tu es mon maitre et mon createur voire meme mon inventeur
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.39.wav,99842,es tu certain d etre mon botmaster alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.40.wav,116384,alfred tu es mon ami mon copain et mon pote
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.41.wav,136216,tu es ma copine et mon amie mais pas ma soeur ni ma mere
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.42.wav,147350,tu n es pas ma soeur ni ma cousine et encore moins ma belle mere
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.43.wav,84498,es tu ma grand mere ou mon grand pere
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.44.wav,98530,tu ne peux pas comprendre et tu ne saisi pas tout
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.45.wav,79746,tu ne comprends pas et tu ne saisis pas
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.46.wav,80262,peux tu tout comprendre et saisir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.47.wav,101056,as tu une chose ou un truc a me dire
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.48.wav,108318,as tu quelque chose ou rien a dire a ton camarade
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.49.wav,101214,est ce que tu as une copine un copain ou des amis
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.50.wav,105278,as tu des copains ou des copines ou des camarades
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.51.wav,70954,de quelle couleur es tu alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.52.wav,98362,es tu noir ou rouge ou encore blanc
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.53.wav,114962,est ce que tu es vert bleu orange ou noir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.54.wav,85912,tu es jaune violet ou rose
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.55.wav,77228,tu aimerais faire quoi si tu etais humain
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.56.wav,87968,alfred suis moi jusqu a la cuisine
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.57.wav,117800,alfred quel est mon nom ou comment je m appelle
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.58.wav,83512,peux tu me dire qui je suis maintenant
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.59.wav,90774,alfred qu est ce qu un robot humanoide
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.60.wav,93894,peux tu rechercher sur internet une donnee
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.61.wav,114158,recherche sur internet ou sur wikipedia
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.62.wav,109450,qui est madonna einstein ou newton
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.63.wav,107584,connais tu shakira ou encore celine dion
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.64.wav,88908,qui est axel et qui est vincent
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.65.wav,83564,quel est ton nom ou comment tu t appelles
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.66.wav,89682,qui es tu alfred et quel est ton age
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.67.wav,92462,tu as quel age alfred et quel est ton age
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.68.wav,135264,que sais tu faire et tu peux faire quoi et sinon tu fais quoi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.69.wav,82644,que peux tu faire et tu sais faire quoi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.70.wav,94066,tu veux faire quoi et que reves tu de faire
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.71.wav,84546,tu veux ou tu peux faire quoi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.72.wav,83364,peux tu rever ou voyager dans les reves
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.73.wav,106368,quelle est ta couleur preferee si tu en as une
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.74.wav,78954,as tu une couleur preferee alfred
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.75.wav,68436,quelle est ta couleur preferee mon ami
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.76.wav,77536,tu aimes quelle couleur mon robot
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.77.wav,103418,quel est ton livre prefere ou ta musique preferee
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.78.wav,112188,as tu une musique preferee et quel est ton livre
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.79.wav,53426,quelle est ta musique preferee
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.80.wav,68586,quelles sont tes musiques preferees
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.81.wav,50802,quel est ton prenom prefere
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.82.wav,56822,tu preferes quel prenom
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.83.wav,38234,as tu des loisirs
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.84.wav,58192,quels sont tes loisirs preferes
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.85.wav,65474,alfred que veux tu dire
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.86.wav,37052,tu veux dire quoi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.87.wav,37776,que veux tu chanter
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.88.wav,53646,veux tu chanter une musique
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.89.wav,78464,chantes moi une musique veux tu
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.90.wav,49540,que veux tu faire aujourdhui
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.91.wav,51678,tu veux faire quoi ce jour
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.92.wav,52490,tu veux trouver quoi ici
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.93.wav,55002,que veux tu chercher par ici
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.94.wav,57860,peux tu manger de la nourriture
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.95.wav,59260,es tu capable de manger
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.96.wav,76830,es tu capable de te nourrir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.97.wav,59770,que manges tu quand tu as faim
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.98.wav,47554,quel jour sommes nous
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.99.wav,35910,nous sommes quel jour
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.100.wav,51716,quelle est la date du jour
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.101.wav,55012,en quel mois sommes nous
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.102.wav,51296,en quelle annee sommes nous
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.103.wav,52482,quel est le mois et l annee
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.104.wav,36264,quelle heure est il
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.105.wav,31422,il est quelle heure
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.106.wav,29864,quelle est l heure
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.107.wav,61384,quelle est ton adresse ip
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.108.wav,62774,donnes moi ton adresse ip
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.109.wav,77702,tu aimerais faire quoi si tu le pouvais
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.110.wav,67592,qu aimerais tu faire dans le futur
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.111.wav,85132,quand as tu ete fabrique ou concu
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.112.wav,74916,quand es tu ne et qui t a cree
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.113.wav,58386,quand as tu commence a parler
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.114.wav,54008,seras tu mort un jour
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.115.wav,92342,quand seras tu decede ou hors service
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.116.wav,69118,quand est ce que tes batteries seront vides
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.117.wav,51190,peux tu manger des aliments
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.118.wav,69660,es tu capable de te nourrir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.119.wav,56104,je veux jouer avec toi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.120.wav,54060,peux tu jouer avec moi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.121.wav,46658,viens jouer avec moi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.122.wav,46346,jouons tous les deux
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.123.wav,39512,a quoi veux tu jouer
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.124.wav,91842,peux tu danser ou en es tu capable
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.125.wav,57276,veux tu jouer avec moi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.126.wav,84350,peux tu chanter fort ou doucement
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.127.wav,60078,peux tu jouir du beau temps
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.128.wav,60836,peux tu boire ou t alimenter
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.129.wav,62762,peux tu dormir plusieurs heures
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.130.wav,61790,peux tu souffrir ou mourir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.131.wav,60690,peux tu vivre ou mourir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.132.wav,99278,peux tu comprendre analyser et traduire
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.133.wav,74274,peux tu examiner dessiner
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.134.wav,74840,veux tu chanter fort ou doucement
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.135.wav,60402,veux tu jouir du beau temps
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.136.wav,63176,veux tu boire ou t alimenter
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.137.wav,61018,veux tu dormir plusieurs heures
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.138.wav,63604,veux tu souffrir ou mourir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.139.wav,56666,veux tu vivre ou mourir
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.140.wav,101798,veux tu comprendre analyser et traduire
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.141.wav,79896,veux tu examiner dessiner
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.142.wav,59974,es tu mechant ou gentil
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.143.wav,59818,es tu fort ou faible
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.144.wav,67350,es tu doue ou stupide
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.145.wav,68628,es tu dangereux ou mortel
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.146.wav,85078,es tu sauvage ou peux tu etre violent
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.147.wav,44806,peux tu etre vulgaire
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.148.wav,70272,es tu sage doux et gentil
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.149.wav,70034,es tu attentif et intelligent
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.150.wav,51700,as tu le moyen de parler
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.151.wav,50506,peux tu parler avec moi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.152.wav,57112,peux tu rire et marcher
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.153.wav,60120,je pense que tu es tres fort
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.154.wav,64984,peux tu le parier avec moi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.155.wav,103610,es tu capable d ecouter calmement et d analyser
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.156.wav,83664,peux tu calculer rapidement et analyser
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.157.wav,71604,sais tu calculer et comparer
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.158.wav,76370,et si nous parlions ensemble tous les deux
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.159.wav,57486,je suis d accord avec toi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.160.wav,55736,je ne suis pas d accord avec toi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.161.wav,79874,je suis en accord mais pas avec toi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.162.wav,88672,discutons et parlons ensemble tous les deux
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.163.wav,50256,j aime parler avec toi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.164.wav,44586,aimes tu parler avec moi
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.165.wav,54476,parles moi de ta camera
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.166.wav,60054,parles moi de ton haut parleur
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.167.wav,45414,parles moi de ta bouche
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.168.wav,49956,parles moi de tes oreilles
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.169.wav,48160,parles moi de tes capteurs
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.170.wav,64326,parles moi de tes capacites
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.171.wav,44706,parles moi de ta camera
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.172.wav,38160,parlons de ta bouche
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.173.wav,42478,parlons de tes oreilles
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.174.wav,44530,parlons de tes capteurs
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.175.wav,47108,as tu un haut parleur
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.176.wav,35614,as tu une bouche
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.177.wav,36000,as tu des oreilles
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.178.wav,45514,as tu des capteurs
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.179.wav,43704,as tu des capacites
/home/nvidia/deepspeech/DeepSpeech/data/deepspeech_material/train/record.180.wav,55658,as tu des bras et des mains
